PRIORITY,ID_2MASS,RA_DEG,DEC_DEG,EPOCH,H_MAG,H_MAG_SOURCE,PM_RA,PM_DEC,PM_SOURCE,TYPE,APOGEE_COMMENT,AT1,AT2,AT3,APOGEE_COMMENT2
NaN,J18591449-3130280,284.81042,-31.50778,2000.0,11.913,2MASS,-0.800,0.700,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18522854-3055179,283.11875,-30.92139,2000.0,11.923,2MASS,-3.200,0.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18572828-3015570,284.36792,-30.26583,2000.0,11.925,2MASS,-3.400,-0.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18570629-3112287,284.27625,-31.20778,2000.0,11.932,2MASS,0.300,-0.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18553393-3153402,283.89125,-31.89444,2000.0,11.949,2MASS,-0.300,3.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18550889-3126398,283.78708,-31.44417,2000.0,11.964,2MASS,-3.600,0.500,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18543881-3058447,283.66167,-30.97889,2000.0,11.968,2MASS,-1.900,-0.600,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18585195-3022370,284.71667,-30.37667,2000.0,11.969,2MASS,-0.300,0.700,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18555681-3049202,283.98667,-30.82222,2000.0,11.991,2MASS,-2.400,3.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18555580-3043407,283.98250,-30.72778,2000.0,12.010,2MASS,-3.000,0.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18545004-3015140,283.70875,-30.25389,2000.0,12.026,2MASS,-1.900,3.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18552685-3120544,283.86208,-31.34833,2000.0,12.042,2MASS,0.100,0.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18593506-3029148,284.89625,-30.48722,2000.0,12.056,2MASS,-2.400,0.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18571468-3004348,284.31125,-30.07611,2000.0,12.068,2MASS,-0.700,1.300,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18591538-3025355,284.81417,-30.42639,2000.0,12.074,2MASS,-1.300,1.600,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18564599-3050318,284.19167,-30.84194,2000.0,12.086,2MASS,-1.600,2.500,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18570803-3008149,284.28333,-30.13722,2000.0,12.093,2MASS,1.500,-3.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18572312-3020018,284.34625,-30.33361,2000.0,12.098,2MASS,0.800,-3.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18580189-3106326,284.50792,-31.10889,2000.0,12.101,2MASS,-0.200,1.800,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18585348-3027428,284.72292,-30.46167,2000.0,12.102,2MASS,-1.600,2.000,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18553167-3148362,283.88208,-31.81000,2000.0,12.104,2MASS,-1.400,1.200,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18562889-3104570,284.12042,-31.08250,2000.0,12.111,2MASS,-2.000,2.100,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18592237-3131418,284.84333,-31.52806,2000.0,12.133,2MASS,-1.400,1.400,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
NaN,J18561619-3109394,284.06750,-31.16083,2000.0,12.148,2MASS,-0.700,-2.700,UCAC4,STAR,Battaglia_MP_Sgr,26,-0,-0,None
